# src K queryType(1=count,2=max) expectedResult
61202 1 1 0
30750 1 1 6
7190 4 2 81601
80905 4 2 -1
1589 4 2 81673
159 2 2 2785
31921 4 2 81489
8244 4 1 73417
46101 2 1 166
56378 3 2 79585
71121 4 1 0
12237 2 2 73374
73463 2 1 12
46154 1 2 5338
48688 3 1 12641
54238 1 2 27895
31897 2 2 -1
44757 2 1 221
27990 4 2 81817
79623 1 2 56622
80811 1 2 80810
70812 4 1 48870
19008 3 1 0
53384 3 2 69495
5571 4 2 81923
43148 3 1 6141
48695 4 1 31589
32441 3 2 79173
62368 4 1 48170
44760 4 1 62007
71854 3 1 0
12180 3 1 42111
29796 1 2 36317
54040 2 1 77
78356 4 1 7454
5842 4 1 75953
45968 1 2 66051
54575 3 2 79351
25599 1 1 2
67055 2 2 52063
5355 1 2 46271
38342 1 1 0
2257 1 1 4
26654 2 2 72364
29320 1 2 -1
34773 1 2 2816
76396 3 1 602
57505 1 2 10172
47377 3 2 78274
55621 4 2 80932
16923 4 2 81168
54336 4 1 62314
33002 3 1 20354
73016 1 2 27971
10293 2 1 3415
62507 3 1 3240
61997 1 1 0
18199 2 2 18209
8016 4 2 82085
31881 3 1 45549
51813 1 2 6798
36021 4 2 81158
12828 3 1 36832
1401 4 2 74289
44864 4 1 60743
19611 4 1 66353
76240 4 2 -1
2745 4 1 76102
32245 1 2 74477
71354 3 2 -1
30116 2 1 143
20447 4 1 73261
29336 1 1 58
69561 3 2 75073
61240 2 2 61277
46607 4 1 59040
55668 4 1 51726
52870 4 1 70259
53554 1 2 8151
4426 4 1 75173
27606 1 2 72817
79303 1 2 54254
62522 4 2 80749
2204 2 2 72545
31131 1 1 9
49067 2 2 -1
21607 1 1 12
11908 4 2 82034
74707 2 1 39
61215 4 2 80443
82152 1 1 1
46169 4 1 74240
77240 2 1 0
46473 3 1 7132
55751 4 2 81947
54254 3 2 79304
74218 1 1 0
32430 4 2 81501
32983 2 2 33013
18990 3 1 8566
36081 2 1 214
16241 1 2 38211
5939 1 1 201
35063 2 1 1054
76721 2 1 0
44769 3 2 77794
21625 1 2 45959
27076 2 2 75551
44605 2 2 44615
39121 2 2 76542
43309 1 1 1
67293 3 2 -1
38405 1 2 -1
77227 1 1 3
8811 1 1 0
72010 1 2 81285
54110 4 2 80791
28328 4 2 81635
59234 4 2 80853
73402 2 2 68268
5451 3 1 61286
63064 2 1 166
38870 3 2 81265
30873 2 2 71376
66155 3 1 7109
3642 1 2 381
34064 3 1 0
24820 4 2 81760
50081 3 2 -1
18793 4 2 81915
36191 4 1 0
63069 1 1 2
21542 1 1 14
55388 2 2 72764
77960 1 2 45813
18020 4 2 81959
81051 2 1 2
24532 4 2 81647
63227 4 2 81863
20022 4 2 80998
5722 2 1 11565
81050 1 1 1
66732 2 2 -1
23816 2 2 81196
19702 3 2 -1
67712 4 1 0
53574 1 1 2
9171 4 1 77086
3696 3 1 21609
20313 2 1 579
53521 1 2 -1
4956 4 1 80453
66641 4 1 0
51313 1 2 31251
24729 1 2 71544
29961 3 1 45756
9256 1 1 220
34681 1 1 2
64789 2 2 80578
34540 1 1 30
63043 1 2 13774
2871 3 1 25381
22626 4 2 81427
66668 4 1 19555
42998 3 2 77704
45607 1 1 3
70093 4 1 51765
74601 4 1 34284
47857 4 1 0
20700 4 1 71758
42351 3 2 80204
13869 4 2 81944
20954 4 2 81472
45026 1 1 1
80578 3 2 80577
45095 3 1 16995
15523 2 1 5127
19991 4 2 81762
61250 2 1 129
27056 3 1 13437
7415 4 1 69220
43884 1 1 10
37044 2 1 209
49976 1 1 0
80437 2 1 6
61240 2 2 61277
77116 4 1 5339
57727 3 2 79789
22318 4 2 80066
20466 3 2 69156
60142 1 1 2
22412 3 2 -1
57649 2 2 57651
13156 1 2 62231
30106 3 2 81439
7214 2 2 73661
27127 2 1 1828
2708 4 1 78907
57615 3 1 4811
10014 2 2 68930
47135 3 2 -1
78077 1 1 1
52874 4 2 81807
27128 1 2 35866
78958 1 1 1
11156 1 2 33447
2800 1 1 79
42712 3 2 80209
33872 1 1 1
20583 3 2 69199
67450 2 1 11
65942 2 1 31
33276 2 1 566
19873 3 1 14901
21644 2 2 74115
66899 4 1 34803
1538 1 1 74
41520 4 2 80991
174 1 1 201
53312 1 1 1
75225 3 2 77555
50719 4 2 81021
73155 2 1 13
70482 3 2 -1
18919 2 2 61599
26400 2 2 68386
37564 3 2 81037
27962 1 1 6
70533 1 1 1
10578 1 1 11
39194 4 2 78906
67391 2 1 27
58002 4 2 81967
4986 3 2 81651
56408 4 1 64204
16835 4 1 76406
64887 2 1 73
43526 2 2 74308
11889 4 1 69892
11442 2 2 61004
37327 4 2 -1
112 4 2 81702
59722 1 1 2
16523 1 2 354
19552 1 1 0
72525 1 2 27137
887 3 1 28827
81938 2 1 4
26049 2 1 312
7846 4 1 76988
46220 4 2 -1
81486 3 2 -1
22931 1 2 10983
55633 3 2 71216
25991 2 2 75032
55312 2 2 74734
62875 2 1 13
1988 2 2 2437
14256 3 1 34497
28230 3 1 31420
45833 2 1 108
79650 4 2 81953
71291 4 2 80235
4117 2 1 1850
60710 3 1 2718
67054 2 2 -1
81882 1 2 -1
64619 3 2 80471
26990 2 2 -1
19233 2 1 501
34510 3 2 78536
12360 1 2 39323
45800 3 2 78862
54330 4 2 81930
29084 4 1 61961
2642 2 1 117
55561 1 1 3
48442 2 1 203
1813 4 2 81838
55276 4 1 39838
60272 1 2 11700
78854 1 1 0
65618 1 2 -1
77219 1 1 1
2093 2 2 2437
24351 2 2 68793
70821 1 2 81179
78513 3 2 -1
7674 1 1 33
60686 4 1 63711
2426 1 1 1
68498 4 2 78645
44816 3 1 7475
75945 2 2 79598
62956 4 1 27157
43764 3 1 39584
62943 4 1 43977
60128 1 2 11633
5039 2 2 61346
10442 1 2 57980
27586 2 2 49362
67087 2 2 2863
58671 3 2 70928
66897 2 1 9
69906 4 1 39783
43326 1 2 77495
76162 2 2 81643
1014 4 1 73836
33458 2 2 71758
23248 1 1 1
29061 3 1 10793
43803 1 2 -1
18257 4 1 77930
20025 3 1 17584
70843 2 2 81180
49831 4 2 81267
38506 1 1 3
47195 2 2 47197
81982 2 2 -1
46218 2 1 0
79052 4 2 -1
28927 3 1 10523
54122 2 2 54125
73539 4 1 44097
7296 3 1 20177
13261 2 2 -1
56704 2 2 -1
13652 4 1 71704
35529 4 1 62242
49393 3 1 22393
35436 3 2 -1
15954 3 2 65454
12356 1 2 61097
2187 4 1 78385
21225 3 1 18294
57620 1 1 6
26489 4 2 81318
71832 1 1 0
2591 3 2 79030
48516 4 2 81662
66736 2 2 66737
11087 1 1 0
136 2 1 11077
59500 3 1 4082
66197 1 2 16855
32854 1 2 30267
16322 2 1 957
27518 2 1 2177
1700 3 1 35039
23199 2 2 23201
61934 4 1 35899
54316 1 1 2
36455 1 2 -1
41605 4 2 -1
13917 2 2 77724
64925 1 2 15382
30954 4 2 80945
41458 2 2 41470
43939 2 1 481
46313 4 1 72618
69166 2 1 40
49298 2 1 0
3453 4 2 81946
43370 1 1 5
15534 1 2 65044
36320 3 1 0
80201 4 1 1
8640 1 2 12376
30049 3 1 22271
56053 1 2 9323
69724 4 1 0
32972 4 1 69366
28916 4 1 63117
76700 3 2 39741
71696 3 1 131
58692 2 1 0
15810 3 2 80069
192 1 2 13196
12816 3 1 11561
50940 3 1 12661
36468 3 2 75806
47897 4 2 81470
42056 4 2 81436
33272 2 2 33283
27048 3 2 81334
43954 2 1 427
717 1 1 319
49810 2 1 310
4994 3 1 29019
43949 2 1 247
42215 2 1 1079
51759 2 2 -1
2581 2 2 74951
55480 4 2 81158
25307 4 1 53070
76848 1 2 40366
47937 1 1 1
2382 4 2 81714
45276 3 2 80713
26946 3 1 34266
73933 4 2 -1
79930 3 2 62525
22010 4 2 81720
2890 2 1 5055
8026 2 1 4278
33665 2 2 48196
47664 1 2 78352
670 4 2 81794
55612 4 1 59496
54319 1 2 10587
21639 1 2 33373
34660 4 1 72339
59197 3 2 79943
11577 4 1 66954
44386 1 1 1
41003 1 1 1
35931 1 1 8
34693 1 2 2805
76502 3 1 663
81471 2 2 74185
66025 1 1 0
26069 2 2 73473
59049 1 1 1
39178 2 2 76158
60935 4 1 59271
38712 4 1 71557
33722 2 2 33723
76509 4 2 80106
43307 3 1 27233
21839 1 2 866
60593 4 1 0
4886 2 2 74147
31455 1 2 74189
28453 1 1 4
53442 2 1 24
22588 1 2 48725
47788 4 2 81925
44948 2 2 64369
66458 4 1 48728
73493 2 1 17
43395 4 1 57552
37701 4 2 80973
49145 1 2 17570
203 1 2 13448
29063 1 1 6
66629 1 1 1
25183 3 1 7905
19259 4 2 80656
33457 4 2 81098
2103 2 1 17080
44535 4 1 55071
78278 4 1 24376
28901 2 2 45482
81159 3 1 0
50357 1 2 67973
38437 4 1 46014
75403 3 1 593
64286 3 2 -1
14908 2 1 2394
37228 3 1 43853
28302 4 1 56769
63344 3 2 80967
76234 3 1 0
70130 2 1 12
14334 4 2 81856
6644 3 2 78999
32933 3 2 80935
33687 2 1 221
17375 4 2 81925
65206 3 2 -1
23993 3 1 6472
46287 1 1 3
76312 4 1 31092
71196 3 1 0
10922 2 2 73923
33340 3 1 21832
11094 4 1 75364
5741 2 1 497
68798 3 1 5034
22164 4 2 81930
14211 2 1 2655
67753 4 2 80351
79768 2 1 1
53535 3 1 11938
52113 3 1 8749
63185 4 1 39840
36182 1 1 0
19288 1 2 -1
917 3 1 55662
64575 3 2 -1
39104 3 2 79503
61845 2 2 61959
23470 1 1 3
59821 2 2 67848
44435 2 2 77708
12192 3 1 18804
34087 2 2 74071
56541 2 1 8
3255 2 2 71084
19404 2 1 944
19173 2 2 77216
23989 2 1 53
24519 4 2 80957
76949 4 2 80445
5021 1 2 44461
51539 4 1 51956
46223 2 2 -1
22250 3 2 76404
66798 4 2 -1
59546 1 1 4
3327 3 1 38368
64418 3 2 80857
42788 2 1 1528
46830 3 1 21140
15160 4 1 78735
27230 1 2 36081
31085 4 2 81508
5750 4 1 79449
35903 2 2 80890
34314 2 2 76297
35179 2 2 54054
25338 4 2 81944
32101 4 2 81227
45619 3 1 10014
19539 3 1 3045
65149 1 2 15678
54567 4 2 81525
61799 3 2 73376
25479 1 2 71795
55863 4 2 81111
15408 4 1 71726
16351 4 1 55858
44825 2 2 62288
44254 2 2 72257
12453 3 2 79896
77694 4 1 2464
47893 2 1 49
45066 4 2 80279
10335 2 1 3886
47295 2 2 76064
66983 4 2 -1
59287 3 2 79629
79675 2 1 5
19520 3 1 22563
25566 2 1 33
30134 2 1 187
41185 1 2 21487
70744 4 2 79759
28018 4 2 81277
73616 3 2 76502
9486 3 1 61231
58870 3 1 1404
43856 4 1 69462
31379 2 1 907
54353 1 2 -1
80072 3 2 60347
17618 4 1 69893
31480 3 2 75941
23569 4 1 75326
59174 4 1 60825
35303 1 1 2
67568 1 2 18411
37842 1 1 2
80059 2 2 80060
1630 2 2 60551
46151 1 1 1
67231 3 2 -1
3262 2 2 4787
81972 2 1 2
50818 1 2 13178
8597 4 1 76250
63909 4 1 0
8263 2 1 3471
25805 4 1 61785
14079 3 2 79347
9018 3 1 23523
12100 2 2 12175
19800 3 1 2216
29437 1 2 -1
46675 3 1 14001
11669 4 1 78873
15916 3 2 65428
73648 4 2 -1
336 2 2 65719
45536 1 1 0
51148 1 2 6556
68665 4 2 -1
71386 1 1 2
77485 4 2 79430
77273 3 1 2258
54028 3 1 11040
71128 1 2 36181
76533 2 1 0
74640 2 1 0
39519 2 1 64
33885 2 1 37
30676 2 1 1168
50799 3 1 2122
72307 3 1 0
31923 2 2 60578
78388 3 2 65207
53664 1 2 8187
35464 2 1 605
19456 4 1 71510
46922 2 2 50057
36639 3 2 -1
19692 2 1 0
54200 4 2 81551
18074 2 2 74906
52265 2 1 49
28810 3 1 21276
22800 1 2 -1
75476 1 2 35343
28054 4 2 81246
45397 2 2 -1
25068 4 1 0
70453 4 1 36225
13682 3 2 80565
58160 1 1 2
58817 3 2 79894
34642 3 2 75307
10234 1 2 19904
11410 4 2 81983
1051 2 2 55438
76918 1 1 3
56563 4 2 81316
77475 2 1 3
307 2 2 15964
35944 4 1 60094
27323 2 1 534
25954 2 2 70354
79866 4 1 4137
1961 2 2 2437
32551 1 1 5
55755 4 2 81947
48847 2 2 49985
20389 4 1 60076
61576 3 2 80248
82103 4 1 15
76524 1 1 1
5698 2 2 32709
55805 2 2 70286
50248 2 2 74916
44041 3 1 10714
69783 1 1 0
19738 4 1 77608
49422 3 2 78631
12392 1 2 61198
15641 3 2 79070
18782 2 2 67820
77963 3 2 -1
20566 4 1 72748
6511 1 2 37591
26177 2 1 97
23929 1 1 9
29523 1 2 73562
77525 1 2 -1
34812 1 2 75358
51493 1 1 1
40953 2 2 40956
54195 3 2 73597
23576 1 2 29103
25464 2 1 8544
35440 3 2 79750
56683 3 1 8459
1987 3 2 78980
78484 4 1 0
68309 4 1 0
57535 3 2 79357
56561 2 1 24
7347 1 2 11347
55798 3 1 5529
55161 1 1 0
20922 1 2 69374
20316 1 1 13
30266 4 2 81532
24000 4 2 -1
2866 2 1 7458
18395 4 2 81462
4006 2 1 1850
50042 4 1 49202
29631 1 1 4
62901 4 2 82024
41574 3 2 -1
65006 2 1 27
39454 4 1 65509
54710 2 2 30616
75886 1 1 1
29432 3 2 75293
72373 2 1 3
5454 1 2 46747
43618 1 2 38677
47111 2 1 643
59993 1 1 3
78672 4 2 -1
61602 2 2 31544
42222 4 1 66212
65333 1 1 1
49420 1 1 5
9460 4 1 74652
9275 2 1 297
13269 2 1 0
65942 1 2 44868
22553 3 1 12082
17369 4 2 -1
68154 4 2 -1
75139 1 1 1
4621 2 1 4645
60294 4 2 80434
7566 3 1 40150
24042 3 2 80367
27042 1 1 2
18323 4 1 64714
40863 2 2 -1
10283 4 2 81339
62780 1 1 2
50225 1 1 2
37663 4 1 60123
61381 2 2 -1
76173 1 2 -1
29134 3 2 79887
69443 4 1 38164
46799 4 2 81183
62653 4 1 16025
5313 3 1 53338
28807 4 1 77625
45226 3 1 0
3558 1 2 381
52999 3 2 77929
58219 3 1 8951
33769 1 1 2
53218 2 2 -1
27877 2 2 27876
38084 1 1 11
16806 4 2 -1
37034 2 1 310
19094 1 2 4674
57221 4 2 80528
39531 4 1 1
41247 2 2 -1
50599 2 2 70619
4552 1 2 381
58579 2 2 -1
72055 3 1 5556
3722 3 1 23894
40031 4 1 0
58819 1 1 1
41938 1 2 77143
49877 4 2 81641
40469 1 2 13558
14191 3 1 24634
27386 2 1 39
13704 4 2 82080
62993 1 1 1
25416 3 2 -1
50258 1 1 0
78916 3 2 -1
46335 3 2 78058
63768 4 2 81612
31980 4 2 81489
1609 2 2 72448
28141 2 2 28152
6782 1 1 38
25933 3 2 72021
75874 3 1 4
50772 1 2 6470
27526 3 1 6561
68477 4 2 -1
47947 1 2 5725
25553 2 1 2236
24816 3 2 -1
61922 1 1 1
1881 4 2 79645
79211 3 1 210
41198 4 2 -1
16459 4 1 0
64486 2 2 64488
4922 3 1 30869
4686 3 2 42296
32006 3 1 39255
12205 3 2 71284
18443 1 2 45569
28202 1 1 1
61692 1 2 12892
60372 4 1 69496
49241 4 2 81414
68379 2 1 47
15972 2 1 366
22927 2 2 22979
66630 1 2 17263
52347 1 1 1
69518 4 1 71418
12205 4 1 73988
12748 2 1 559
53311 1 1 0
23862 4 1 72207
79507 1 2 55714
4926 4 2 81753
35733 4 2 81893
39876 2 2 79937
16428 3 1 6920
64140 3 2 -1
6364 4 2 82109
691 4 1 79221
66467 1 1 3
79762 2 2 -1
63928 4 1 0
41347 2 2 -1
28164 4 1 73171
23165 3 1 8504
26553 4 1 53684
44331 2 1 63
39560 2 1 201
75910 4 1 50276
77986 1 1 2
54460 3 1 13937
26206 1 2 20854
22337 3 2 70243
1161 2 2 2437
38751 4 2 81100
14758 1 1 2
3178 4 1 57974
33654 1 2 33218
52550 2 1 45
58251 3 1 0
61386 4 2 80842
320 3 2 17247
21684 2 1 404
21889 2 2 27862
48899 4 1 58001
39321 3 2 66225
41777 3 1 12172
40130 4 1 0
2537 3 1 55225
3009 1 2 36361
14209 4 2 81768
67613 4 2 -1
62559 1 2 13447
8635 2 2 79358
33783 1 2 56769
51502 1 2 78979
40469 1 2 13558
59754 3 1 0
43169 4 2 81778
5543 1 2 47207
51033 1 2 18880
69345 4 2 81885
72742 4 2 80022
28992 3 2 81436
48803 4 2 81793
13210 2 1 7653
62008 2 2 62034
7452 3 2 81403
27236 4 2 81146
67708 3 2 70835
19053 2 1 469
59095 2 2 -1
5247 2 2 77919
6135 2 2 75240
79267 2 2 -1
43646 4 1 63999
53687 1 2 8191
27564 4 2 81366
7697 2 1 2583
17046 4 1 76909
53370 4 1 63053
5060 4 1 74345
60519 3 2 80094
61158 3 2 80203
78533 4 2 79033
72684 3 2 78599
79558 2 2 56113
81422 4 1 0
25256 2 1 334
37419 2 1 115
43116 3 2 79118
23382 4 2 81179
22394 2 1 3381
864 1 1 1
13666 1 2 39293
81845 2 1 2
66471 1 1 1
43298 1 1 2
48924 2 1 47
60824 3 2 79610
34753 1 1 3
15960 4 1 74801
25216 4 2 81793
62047 3 1 0
4078 2 2 67721
4042 1 2 40495
68111 3 2 76616
50733 3 1 11913
26681 1 1 0
24704 1 2 36873
7493 4 1 74965
54383 3 1 7991
47234 4 1 63538
5594 4 2 82059
47315 1 2 78259
79526 4 1 12998
7130 1 1 3
52664 2 2 52677
43059 3 1 14984
61269 3 1 9720
2035 4 2 81923
17241 4 1 38788
25625 3 1 41421
56396 4 1 57888
13331 4 1 76893
63014 3 2 -1
54478 3 1 8268
28621 3 2 73235
46121 3 1 22312
60197 2 1 0
42431 2 2 42433
4837 1 2 43070
71232 3 2 81218
12615 3 2 78518
65911 3 1 3585
60739 1 2 -1
73369 2 2 73370
40874 3 1 10402
33367 4 1 75161
74328 1 2 31768
36405 1 2 3019
15989 4 1 75307
38367 1 1 7
79481 3 2 77000
30133 1 1 14
27052 3 2 76979
40475 3 1 2788
57656 2 1 200
46546 1 2 37242
27405 2 1 19
20827 1 1 5
78543 2 2 -1
35315 1 1 2
14414 2 2 61788
946 2 2 70210
15540 4 2 81819
41203 2 2 54107
11350 1 2 59673
42832 2 1 1565
17576 2 2 69011
390 4 1 66774
11569 2 1 427
45875 1 1 1
5867 1 2 48561
9121 4 1 68336
17027 3 2 75821
8921 4 1 62934
10310 2 2 75245
69922 4 1 34558
12242 4 2 81934
8947 3 1 39509
61816 2 2 61959
507 1 2 18607
11618 3 1 20521
7354 3 2 80881
79376 3 2 54730
5037 2 2 77753
64550 1 2 18952
73373 2 1 3
71947 2 2 -1
692 3 1 46064
73984 3 2 63265
75609 3 2 75608
6533 2 2 6645
9927 4 2 81937
24594 1 2 71472
76382 2 1 23
40696 2 1 0
6089 1 2 49580
7797 2 1 174
33672 2 1 114
26140 1 1 60
34493 1 1 1
22195 3 1 36073
16555 2 2 50090
18690 3 1 20741
48849 4 2 -1
49056 4 1 66247
81502 2 1 2
70211 3 2 -1
27843 1 2 40655
39516 4 2 79105
17857 4 1 42877
52248 3 1 3528
44116 3 1 8821
28557 3 2 70322
78002 3 1 257
57608 2 1 162
72095 1 1 0
35892 4 1 0
77606 2 1 15
924 3 1 36138
71042 3 2 -1
80846 3 2 78244
5515 3 2 81580
76946 3 2 -1
20470 2 2 80402
37038 4 1 67706
29831 3 2 81100
38220 3 2 76258
53051 2 1 13
65524 1 1 0
67598 3 2 75691
53473 1 2 44045
44439 1 1 1
35081 3 2 81167
9837 4 2 81703
36824 2 2 63502
26299 2 2 26298
30063 2 1 215
68472 3 1 2709
79854 1 1 1
27672 2 2 72850
65066 2 2 23184
27281 3 2 81017
50494 1 2 78798
18610 4 1 56211
46751 3 1 17239
30951 4 2 81998
59872 4 2 80017
62712 2 2 62720
79823 4 2 79822
32230 2 1 2510
68876 1 1 1
45203 2 2 74040
69806 3 2 81079
49646 1 2 6098
69322 3 1 3479
9190 1 2 55772
39661 2 2 76678
80428 4 2 82027
43240 1 1 1
43894 2 1 450
56759 2 1 38
55371 3 2 78691
2962 4 1 65850
45747 1 2 77941
70832 1 2 23399
5730 2 1 12161
71138 4 2 80993
45349 1 2 6141
41979 2 2 -1
45039 3 2 52526
8876 2 2 79437
63723 3 1 6597
51413 1 2 -1
28756 1 1 7
10304 2 1 2023
17010 4 1 65037
31658 3 1 22522
1375 2 1 2208
490 2 1 2664
21398 3 1 35913
3159 3 1 63686
17065 3 2 81419
46511 4 1 67119
29320 1 1 0
81720 3 1 13
40025 4 2 81595
48940 1 1 0
14678 4 1 77992
12021 1 2 60627
73755 1 2 81439
30232 2 2 30233
74024 2 1 0
51448 1 2 15286
901 1 1 14
2881 4 1 80217
5622 1 1 1
71186 2 2 52819
59251 1 2 11040
63212 3 2 -1
22499 1 1 5
61360 4 2 81058
12632 4 2 82043
65756 3 1 7337
70354 1 2 -1
7349 3 1 29154
42624 2 1 3220
37344 2 2 75420
24299 4 1 73435
81441 1 1 0
40581 1 2 76886
14175 1 2 54525
80158 2 2 60869
47645 1 2 5659
59123 1 1 1
49630 3 2 78644
66727 1 1 1
46216 2 2 63042
27856 4 1 45594
24162 1 2 40008
62532 3 1 0
66323 3 2 -1
36444 1 2 21108
5033 1 2 44593
66 4 1 78687
7533 4 1 69220
59658 3 1 5216
11772 2 1 680
58531 4 1 64384
16932 2 2 79598
61431 1 2 12621
32966 2 2 32967
32567 4 1 74361
42598 4 2 81753
13798 1 1 11
61084 2 2 61094
178 1 1 297
17118 1 1 18
7601 4 2 81841
45264 1 2 5172
3084 2 1 11799
731 2 1 6452
1605 3 2 72433
44130 2 1 483
68469 4 2 81431
70610 2 1 13
39867 3 2 76743
19773 4 2 81669
51415 1 2 6653
60430 1 2 11801
14605 1 1 4
31186 1 1 43
20711 3 2 81173
36561 4 2 -1
81395 3 2 -1
28350 1 1 7
33798 3 2 79734
10785 4 1 74177
61957 4 2 82012
71894 2 1 16
19581 1 1 1
64173 4 1 57397
48665 3 1 4578
72573 2 2 -1
13386 2 1 1108
6221 3 2 80409
21045 4 1 65779
4922 4 1 74426
42771 4 2 81717
52949 3 1 3335
15240 1 1 17
2716 3 2 34376
73717 4 1 51654
61826 2 1 206
66151 3 1 8316
50906 4 2 -1
74694 4 1 29741
20008 3 1 47643
38185 1 1 3
74417 3 2 74418
34980 1 1 1
16766 1 1 17
11695 1 2 52076
14559 3 2 79089
8802 4 2 81421
34159 1 1 2
29086 3 1 29658
52091 4 2 -1
47766 2 2 78370
70990 3 2 78196
15386 3 2 80808
43254 4 1 54832
53634 2 1 86
75452 4 2 78143
15581 4 1 68733
41984 2 2 61359
62699 2 1 19
23649 2 2 23653
34758 1 1 10
3775 1 1 22
21029 2 2 76312
14645 2 1 1707
13668 2 1 3305
11357 1 2 59675
51796 1 1 2
14626 1 2 10432
6449 2 2 76667
9130 1 2 25966
51702 2 2 71624
6054 2 2 9908
48517 1 1 1
49112 1 1 1
28307 4 2 80972
47922 1 1 0
79335 1 1 0
66985 1 2 35647
57608 3 2 78842
40277 4 2 81738
56597 2 1 77
45212 2 1 225
35693 1 2 2908
26950 1 1 2
215 4 2 81995
75900 2 1 10
34474 3 2 -1
10400 4 2 81985
33896 3 2 72414
28229 2 2 28236
4897 3 2 80431
4567 4 1 76250
77239 2 2 -1
71792 1 1 0
37052 2 1 400
33686 2 1 67
63261 2 2 63262
41785 4 1 55127
71927 2 2 26045
37333 2 1 41
39405 1 2 3632
31601 3 1 23590
52116 2 2 25640
62894 4 2 80397
56754 4 1 26877
38871 3 2 76484
29511 1 2 73558
65776 1 2 31109
75135 3 1 271
32574 1 1 7
73531 3 2 73532
22813 1 2 3063
78282 4 2 81837
28060 3 1 14496
6080 3 2 80993
67695 2 1 4
41081 1 2 5096
27094 1 1 9
23991 2 1 223
81463 3 1 0
80440 4 2 82033
24354 2 1 508
64384 4 1 56788
60892 2 1 0
6464 3 1 13680
55514 1 1 2
74219 3 1 0
9269 4 2 82013
2895 4 1 72437
49737 4 1 68008
32016 1 1 6
33302 3 2 80959
19782 4 1 68979
39725 1 2 35227
78863 3 2 65606
32769 2 2 78553
24700 1 1 5
76427 2 2 76428
43880 4 1 59247
49589 3 1 7990
35897 2 1 128
57233 2 1 213
76896 3 1 869
5529 1 1 41
49178 2 1 194
39886 4 1 54951
25279 3 1 44610
79737 1 2 -1
8997 3 2 81197
40860 2 1 0
59470 3 1 4611
63656 1 1 2
76290 2 2 42838
43601 3 1 2956
49768 1 1 2
55565 4 2 -1
35333 3 2 78414
35398 2 2 80981
55421 4 1 0
11360 2 1 4665
5801 3 2 81693
16075 4 2 81624
18984 4 1 54450
12861 3 2 76163
71376 4 2 80060
20977 2 2 71445
72902 1 1 2
20056 3 2 77671
81685 4 1 318
46041 1 1 0
67657 1 1 1
51375 3 1 14301
4136 1 2 40673
32167 2 2 72771
31376 4 1 63705
70456 2 2 70458
17272 4 2 80795
39895 1 2 3822
15696 1 1 8
23345 4 2 81179
61607 2 1 108
66900 1 2 32152
78518 1 2 -1
57196 1 2 9972
79401 4 2 78325
67684 1 2 32132
1552 1 2 26557
32924 3 2 81488
23889 3 2 81111
73591 3 1 4723
32363 1 1 6
56398 3 1 506
26870 3 2 -1
79795 2 1 2
42137 2 2 59050
12379 1 2 61151
38367 1 1 7
63456 2 1 105
69904 4 1 13914
47691 1 2 13298
57986 3 1 5545
19810 4 2 81856
57204 2 1 23
74797 2 2 74799
56207 4 1 61609
56117 2 1 264
15896 2 2 70333
65679 2 2 -1
3228 3 2 80143
11397 4 2 -1
79183 3 1 0
42317 3 2 77209
45254 1 2 38461
52344 1 2 7366
68546 4 2 81262
28412 2 1 200
49549 4 2 80827
71216 4 2 80921
15116 2 2 76316
35709 2 2 75592
26905 1 2 72422
42919 2 2 42939
58446 1 1 1
81149 4 2 70469
39041 4 2 81674
4994 3 2 80511
7489 4 2 81667
73805 4 1 0
77355 1 2 42712
1996 4 2 82014
3089 4 2 81910
45178 2 2 77852
81268 3 2 82101
70726 4 2 -1
34565 4 1 68302
22884 4 1 70605
57786 1 1 1
49294 4 1 58571
12665 1 1 31
36132 1 1 4
58754 1 2 17185
64016 2 1 103
66708 1 1 1
34409 4 1 63480
8738 3 2 78986
24054 2 2 24053
363 3 2 17247
3240 2 2 4787
1936 1 1 250
43965 3 1 11506
20224 4 1 38237
30825 1 2 2271
40056 4 2 81915
2244 3 2 81275
68619 1 2 37954
50017 2 2 50016
70268 3 1 0
64952 3 2 68891
39752 2 2 39768
16121 3 2 80697
66275 2 1 58
9327 4 2 81970
23004 2 2 -1
10492 2 2 70757
13749 2 1 0
9045 1 2 49925
75057 2 1 9
11283 4 1 74904
31624 1 2 5627
46501 2 2 55803
7868 4 2 81876
38729 3 2 79648
41337 2 1 0
62514 2 2 73360
9111 3 2 80073
80583 1 2 -1
16453 1 1 5
30077 3 2 78531
58144 3 2 79631
24503 4 1 77374
755 4 2 81021
55087 2 1 0
54857 2 1 0
40115 2 2 76804
46825 2 1 622
37706 3 2 77941
41139 4 2 81447
41302 1 1 1
68159 3 2 -1
22785 2 1 231
51428 2 2 74989
53026 3 2 77222
23548 2 2 72682
40701 4 2 -1
50717 4 1 57340
31625 3 2 74279
41136 3 2 -1
52409 2 2 52410
81731 2 1 2
21341 3 2 69662
46330 2 2 46459
68416 4 2 79591
33313 1 1 0
34695 2 1 1350
49156 2 2 49166
27829 1 1 6
59164 3 2 77671
68199 3 2 70186
9465 3 2 78000
60289 3 2 80582
4763 2 1 1850
47588 2 2 68978
13569 3 1 31511
71558 2 2 77951
52311 4 2 80520
24904 4 1 68276
68580 1 1 1
77129 4 1 21502
21672 1 2 5442
654 2 2 68796
55934 3 2 78580
29087 3 1 16301
